experiment_id,recipe_bleu,non_english_errors,factual_errors,score,training_time
exp1,0.4624695523937332,0,53,0.6430661470206556,2:28:06.235153
exp2,0.5020818484080817,0,63,0.6698276626608091,3:13:13.496855
exp3,0.4719166504971239,0,50,0.6506824578307419,2:38:20.461921
exp4,0.47742577555307814,0,51,0.6527920989952132,2:32:03.890780
